Scientific Name,Common Name,Category Tag,Min Zone,Max Zone
Acer pseudoplatanus 'Eskimo Sunset',Eskimo Sunset Sycamore Maple,Trees,3,9
Acer pseudoplatanus 'Nizetii',Nizetii Sycamore Maple,Trees,3,9
Albizia julibrissin,Mimosa,Trees,3,9
Albizia julibrissin 'Boubri',Ombrella™ Mimosa,Trees,3,9
Albizia julibrissin 'Summer Chocolate',Summer Chocolate Mimosa,Trees,3,9
Amelanchier x grandiflora 'Autumn Brilliance (tree form)',Autumn Brilliance Serviceberry,Trees,3,9
Aralia elata 'Variegata',Variegated Japanese Angelica Tree,Trees,3,9
Araucaria araucana,Monkey Puzzle Tree,Trees,3,9
Arbutus 'Marina',Marina Strawberry Tree,Trees,3,9
Arbutus menziesii,Pacific Madrone*,Trees,3,9
Arbutus unedo,Strawberry Tree,Trees,3,9
Cercidiphyllum japonicum,Katsura Tree,Trees,3,9
Cercidiphyllum japonicum 'Pendulum',Weeping Katsura Tree,Trees,3,9
Cercidiphyllum japonicum 'Rotfuchs',Red Fox Katsura Tree,Trees,3,9
Cercis canadensis,Eastern Redbud,Trees,3,9
Cercis canadensis '(tree form)',Eastern Redbud (Tree Form),Trees,3,9
Cercis canadensis 'Alba',White Redbud,Trees,3,9
Cercis canadensis 'Appalachian Red',Appalachian Red Redbud,Trees,3,9
Cercis canadensis 'Forest Pansy',Forest Pansy Redbud,Trees,3,9
Cercis canadensis 'Hearts of Gold',Hearts Of Gold Redbud,Trees,3,9
Cercis canadensis 'Little Woody',Little Woody Redbud,Trees,3,9
Chionanthus retusus,Chinese Fringetree,Trees,3,9
Chionanthus virginicus,White Fringetree,Trees,3,9
Cordyline australis 'Torbay Dazzler',Torbay Dazzler Grass Palm,Trees,3,9
Cornus controversa 'Variegata',Variegated Giant Dogwood,Trees,3,9
Clerodendrum trichotomum,Harlequin Glorybower,Shrubs,3,9
Calycanthus chinensis,Chinese Sweetshrub,Shrubs,3,9
Calylophus serrulatus,Shrubby Evening Primrose,Shrubs,3,9
Caragana arborescens,Siberian Peashrub,Shrubs,3,9
Caragana rosea,Rose Peashrub,Shrubs,3,9
Colquhounia coccinea,Himalayan Mint Shrub,Shrubs,3,9
Elsholtzia stauntonii,Mint-Shrub,Shrubs,3,9
Euphorbia cotinifolia,Mexican Shrubby Spurge,Shrubs,3,9
Heimia salicifolia,Shrubby Yellowcrest,Shrubs,3,9
Hypericum prolificum,Shrubby St. John'S Wort,Shrubs,3,9
Lantana trifolia,Shrub Verbena,Shrubs,3,9
Lespedeza bicolor,Shrub Lespedeza,Shrubs,3,9
Leucosceptrum japonicum 'Golden Angel',Japanese Shrub Mint,Shrubs,3,9
Lonicera xylosteum,Dwarf Honeysuckle,Shrubs,3,9
Polygala dalmaisiana,Sweet Pea Shrub,Shrubs,3,9
Potentilla fruticosa,Shrubby Cinquefoil,Shrubs,3,9
Potentilla fruticosa 'Abbotswood',Shrubby Cinquefoil,Shrubs,3,9
Potentilla fruticosa 'Coronation Triumph',Shrubby Cinquefoil,Shrubs,3,9
Potentilla fruticosa 'Fargo' DAKOTA SUNSPOT,Shrubby Cinquefoil,Shrubs,3,9
Potentilla fruticosa 'Hallman Dwarf',Shrubby Cinquefoil,Shrubs,3,9
Potentilla fruticosa 'SMPFMY' CHEESEHEAD,Shrubby Cinquefoil,Shrubs,3,9
Rosa 'Amiga Mia',Shrub Rose,Shrubs,3,9
Rosa 'Ausbord' GERTRUDE JEKYLL,Shrub Rose,Shrubs,3,9
Rosa 'Ausday' THE ALEXANDRA ROSE,Shrub Rose,Shrubs,3,9
Rosa 'Ausdir' TRADESCANT,Shrub Rose,Shrubs,3,9
Abies alba,European Silver Fir,Perennials,3,9
Abies alba 'Pyramidalis',Pyramidalis Silver Fir,Perennials,3,9
Abies concolor,White Fir,Perennials,3,9
Abies concolor 'Candicans',Candicans White Fir,Perennials,3,9
Abies fraseri,Fraser Fir,Perennials,3,9
Abies koreana 'Aurea',Golden Korean Fir,Perennials,3,9
Abies lasiocarpa,Alpine Fir,Perennials,3,9
Abies pinsapo 'Glauca',Blue Spanish Fir,Perennials,3,9
Abies procera,Noble Fir,Perennials,3,9
Acer 'Johin',Johin Japanese Maple,Perennials,3,9
Acer davidii,Snakebark Maple,Perennials,3,9
Acer ginnala,Amur Maple,Perennials,3,9
Acer ginnala 'Flame',Flame Amur Maple,Perennials,3,9
Acer ginnala 'Mondy',Red Rhapsody Amur Maple,Perennials,3,9
Acer ginnala 'Ruby Slippers',Ruby Slippers Amur Maple,Perennials,3,9
Acer griseum,Paperbark Maple,Perennials,3,9
Acer japonicum,Fullmoon Maple,Perennials,3,9
Acer japonicum 'Aconitifolium',Cutleaf Fullmoon Maple,Perennials,3,9
Acer japonicum 'Attaryi',Attaryi Fullmoon Maple*,Perennials,3,9
